homephone,leadsource,otherstreet,id,isemailbounced,accountid,lastcurequestdate,lastname,reportstoid,mailingstreet,otherphone,lastvieweddate,othercountry,othercity,lastactivitydate,mobilephone,lastmodifieddate,jigsaw,ownerid,mailingstate,_hc_lastop,createddate,phone,mailinglongitude,_hc_err,email,isdeleted,createdbyid,photourl,assistantname,lastmodifiedbyid,otherlatitude,otherlongitude,department,assistantphone,sfid,lastcuupdatedate,emailbouncedreason,mailingcountry,otherpostalcode,systemmodstamp,title,mailingcity,fax,otherstate,masterrecordid,lastreferenceddate,mailingpostalcode,emailbounceddate,description,firstname,jigsawcontactid,salutation,name,birthdate,mailinglatitude,hd_point__c,hd_password__c
,,,43,false,,,大城祐介,,,,,,,,,2015-11-30 02:22:05,,00528000001KMXSAA4,,SYNCED,2015-11-30 02:22:05,,,,yoshiro@demo.com,false,00528000001KMXSAA4,/services/images/photo/00328000009tCtDAAU,,00528000001KMXSAA4,,,,,00328000009tCtDAAU,,,,,2015-11-30 02:22:05,,,,,,,,,,,,,大城祐介,2015-11-30,,0.0,a94a8fe5ccb19ba61c4c0873d391e987982fbbd3
,,,46,false,,,大城 祐介,,,,,,,,,2015-12-08 04:12:31,,00528000001KMXSAA4,,SYNCED,2015-12-08 04:12:31,,,,yoshiro.sfdc@gmail.com,false,00528000001KMXSAA4,/services/images/photo/0032800000AGw76AAD,,00528000001KMXSAA4,,,,,0032800000AGw76AAD,,,,,2015-12-08 04:12:31,,,,,,,,,,,,,大城 祐介,2015-12-08,,0.0,a94a8fe5ccb19ba61c4c0873d391e987982fbbd3
,,,49,false,,,Yusuke Oshiro,,,,,,,,,2015-12-12 07:10:49,,00528000001KMXSAA4,,SYNCED,2015-12-12 07:10:49,,,,yusuke@oshiro1.com,false,00528000001KMXSAA4,/services/images/photo/0032800000AJFfFAAX,,00528000001KMXSAA4,,,,,0032800000AJFfFAAX,,,,,2015-12-12 07:10:49,,,,,,,,,,,,,Yusuke Oshiro,2015-12-12,,0.0,a94a8fe5ccb19ba61c4c0873d391e987982fbbd3
,,,8,false,00128000009RCQuAAO,,大城祐介,,,,2015-11-16 07:39:57,,,,,2015-11-16 07:39:57,,00528000001KMXSAA4,,SYNCED,2015-11-05 05:58:33,,,,yusuke@oshiro1.com,false,00528000001KMXSAA4,/services/images/photo/003280000083synAAA,,00528000001KMXSAA4,,,,,003280000083synAAA,,,,,2015-11-16 07:39:57,,,,,,2015-11-16 07:39:57,,,,,,,大城祐介,,,125.0,a94a8fe5ccb19ba61c4c0873d391e987982fbbd3
,,猿楽町2-6-10 新橋小川ﾋﾞﾙ,1,false,00128000009RCQuAAO,,富田,,猿楽町2-6-10 新橋小川ﾋﾞﾙ,,,日本,新宿区,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,03-5457-1200,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2VAAQ,,00528000001V03DAAS,,,,,003280000080y2VAAQ,,,日本,150-0020,2015-11-05 03:56:30,社長,新宿区,,東京都,,,150-0020,,,信吾,,,富田 信吾,,,,
,紹介 (従業員),,2,false,00128000009RCQuAAO,,近藤,003280000080y2VAAQ,猿楽町2-6-10　新橋小川ﾋﾞﾙ,,,,,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,03-5457-1200,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2WAAQ,,00528000001V03DAAS,,,,,003280000080y2WAAQ,,,日本,,2015-11-05 03:56:30,部長,新宿区,,,,,150-0020,,弊社の製品に非常に理解をもっているキーパーソン。,由紀子,,,近藤 由紀子,,,,
,,,3,false,00128000009RCQuAAO,,中村,003280000080y2WAAQ,猿楽町2-6-10　新橋小川ﾋﾞﾙ,,,,,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,06-6666-2468,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2XAAQ,,00528000001V03DAAS,,,,,003280000080y2XAAQ,,,日本,,2015-11-05 03:56:30,部長,新宿区,03-4589-6531,,,,150-0020,,,義男,,,中村 義男,,,,
,,兎我野町7-11 ﾘｯｸﾋﾞﾙ4F,4,false,00128000009RCQvAAO,,飯野,,兎我野町7-11 ﾘｯｸﾋﾞﾙ4F,,,日本,新宿区,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,03-5457-1234,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2YAAQ,,00528000001V03DAAS,,,,,003280000080y2YAAQ,,,日本,150-0020,2015-11-05 03:56:30,代表取締役社長,新宿区,03-5457-1234,東京都,,,150-0020,,,健一,,,飯野 健一,,,,
,,,5,false,00128000009RCQvAAO,,片岡,,兎我野町7-11　ﾘｯｸﾋﾞﾙ4F,,,,,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,03-5457-1234,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2ZAAQ,,00528000001V03DAAS,,,,,003280000080y2ZAAQ,,,日本,,2015-11-05 03:56:30,ﾃﾞｨﾚｸﾀｰ,新宿区,03-5457-1234,,,,150-0020,,,紀夫,,,片岡 紀夫,,,,
,,,6,false,00128000009RCQvAAO,,井上,,兎我野町7-11　ﾘｯｸﾋﾞﾙ4F,,,,,,,2015-11-05 03:56:30,,00528000001KMXSAA4,東京都,SYNCED,2015-11-05 03:56:04,03-5457-1234,,,info@salesforce.com,false,00528000001KMXSAA4,/services/images/photo/003280000080y2aAAA,,00528000001V03DAAS,,,,,003280000080y2aAAA,,,日本,,2015-11-05 03:56:30,次長,新宿区,03-5457-1234,,,,150-0020,,,恵子,,,井上 恵子,,,,
